Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
politie,graag contact mkb,Politie,2024-01-01,01:04:37
politie,contact oc 54,Politie,2024-01-01,01:04:33
politie,1 ongeval wegvervoer letsel eilandenweg capelle aan den ijss icnum 448,Geen beschrijving beschikbaar,2024-01-01,00:58:54
politie,"1 ongeval wegvervoer letsel a16 re - kp ridderkerk-noord 21,1 x rotterdam icnum 321",Politie naar A16 in Rotterdam voor ongeval met letsel,2024-01-01,00:53:56
politie,"2 ongeval wegvervoer materieel toerit a16 re - centrum 25 19,8 b rotterdam icnum 324",Politie naar A16 in Rotterdam voor Ongeval Wegvervoer Materieel,2024-01-01,00:51:32
politie,bellen met zcc twente,Geen beschrijving beschikbaar,2024-01-01,00:49:56
politie,prio 1 morssingel leiden ongeval wegvervoer letsel,Geen beschrijving beschikbaar,2024-01-01,00:49:44
trauma,a1 ambu 08993 - 's-hertogenbosch pastoor claassenstraat rit 123,Geen beschrijving beschikbaar,2024-01-01,01:28:58
brandweer,p 2 bnh-16 br container dublinstraat haarlem 123130,Geen beschrijving beschikbaar,2024-01-01,02:45:45
brandweer,p 2 bdh-07 br afval keizershof leiderdorp 164130,Geen beschrijving beschikbaar,2024-01-01,02:45:45
brandweer,p 1 brt-05 middel br br bijgebouw baarsveen spijkenisse 172131,Geen beschrijving beschikbaar,2024-01-01,02:45:30
brandweer,p 1 bnh-15 br bijgebouw ns station alkmaar noord drechterwaard alkmaar 104131,Brand in bijgebouw op Drechterwaard in Alkmaar,2024-01-01,02:45:30
brandweer,p 1 middel br br bijgebouw baarsveen spijkenisse,Geen beschrijving beschikbaar,2024-01-01,02:45:22
brandweer,p 1 brt-01 br bijgebouw weesmolenstraat ooltgensplaat 175031,Geen beschrijving beschikbaar,2024-01-01,02:45:14
brandweer,p 2 blb-04 br buiten korenbloem landgraaf 244441,Geen beschrijving beschikbaar,2024-01-01,02:45:01
brandweer,p 1 bdh-108 br afval kievit kwintsheul 156831,Afvalbrand op Kievit in Kwintsheul,2024-01-01,02:44:57
brandweer,p 2 br afval bernhardlaan willem de zwijgerstraat baflo 011531,Geen beschrijving beschikbaar,2024-01-01,02:44:54
brandweer,p 2 wateroverlast tweede kostverlorenkade amsterdam 133331,Geen beschrijving beschikbaar,2024-01-01,02:44:29
