Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
politie,aanrijding letsel bornerbroeksestraat zuiderstraat almelo 684940,Politie naar Bornerbroeksestraat in Almelo voor ongeval met letsel,2023-10-31,15:54:52
politie,ongeval/wegvervoer/letsel prio 1 assen mr. groen van prinstererlaan molenstraat,Ongeval met letsel op Mr. Groen van Prinstererlaan in Assen,2023-10-31,15:52:44
politie,"aanrijding letsel n273 - napoleonsweg,4 haelen",Politie naar Napoleonsweg in Haelen voor ongeval met letsel,2023-10-31,15:52:37
politie,prio 1 hoofdweg-zuid nwkkij ongeval wegvervoer letsel,Ongeval met letsel op Hoofdweg-Zuid in Nieuwerkerk Aan Den Ijssel,2023-10-31,15:46:58
politie,graag contact oc apeldoorn politie 965,Politie naar Apeldoorn,2023-10-31,15:46:03
politie,"aanrijding letsel a28 re - knooppunt rijnsweerd 0,9 x utrecht",Politie naar A28 in Utrecht voor ongeval met letsel rijksweg a28 rechts,2023-10-31,15:44:39
politie,graag contact politie meldkamer apeldoorn gms: 965,Politie naar Apeldoorn,2023-10-31,15:42:07
politie,2 ongeval wegvervoer materieel slinge rotterdam icnum 585868,Politie naar Slinge in Rotterdam voor Ongeval Wegvervoer Materieel,2023-10-31,15:41:48
politie,nstraat ringbaan-oost gerard van swietenstraat tilburg,Politie naar Ringbaan-Oost in Tilburg,2023-10-31,15:22:08
politie,"2 ongeval wegvervoer materieel a15 li 55,5 y rotterdam icnum 585853",Politie naar A15 in Rotterdam voor Ongeval Wegvervoer Materieel,2023-10-31,15:19:03
politie,prio 1 erasmusweg moerweg sgravh ongeval wegvervoer letsel,Ongeval met letsel op Erasmusweg in Den Haag,2023-10-31,15:18:24
politie,"2 ongeval wegvervoer materieel a4 ben-tunnel e buis 72.6-73.7 oostbaan 73,4 rotterdam icnum 585844",Politie naar A4 in Rotterdam voor Ongeval Wegvervoer Materieel,2023-10-31,15:17:29
politie,ongeval wegvervoer letsel heschewegaa oss,Politie naar Hescheweg in Oss voor ongeval met letsel,2023-10-31,15:07:25
politie,ongeval/wegvervoer/letsel prio 1 hoogezand burg v roijenstr oost,Ongeval met letsel op Burg v Roijenstr Oost in Hoogezand,2023-10-31,15:00:24
politie,ongeval/wegvervoer/letsel pbxo 1 assen balkenweg,Politie naar Balkenweg in Assen voor ongeval met letsel,2023-10-31,14:57:22
politie,ongeval/wegvervoer/letsel prio 1 assen europaweg-west balkenweg,Ongeval met letsel op Balkenweg in Assen,2023-10-31,14:57:22
politie,ongeval/wegvervoer/letsel prio 1 assen balkenweg,Geen beschrijving beschikbaar,2023-10-31,14:57:21
politie,1 ongeval wegvervoer letsel jacques perkstraat rotterdam icnum 585772,Politie naar Jacques Perkstraat in Rotterdam voor ongeval met letsel,2023-10-31,14:47:20
