Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
politie,2 ongeval wegvervoer materieel capelseweg rotterdam icnum 585225,Politie naar Capelseweg in Rotterdam voor Ongeval Wegvervoer Materieel,2023-10-31,10:11:11
politie,aanrijding letsel edeseweg bennekom 684164,Politie naar Edeseweg in Bennekom voor ongeval met letsel,2023-10-31,10:03:39
trauma,a1 dia 13991 ruige muts volendam 97827/regio 11,Traumaheli naar Ruige Muts in Volendam,2023-10-31,13:47:56
trauma,"a1 ambu 08993 brand, helmond rit 284224",Traumaheli naar Brand in Helmond,2023-10-31,13:38:40
trauma,a1 ambu 08993 dia apeldoorn mantelmeeuw rit 284053,Traumaheli naar Mantelmeeuw in Apeldoorn,2023-10-31,10:59:05
trauma,a1 13991 schorpioenstraat emmeloord 97753,Traumaheli naar Schorpioenstraat in Emmeloord,2023-10-31,10:50:38
trauma,a1 ambu 17992 withuysstraatgz 's-gravenhage sgravh bon 152610,Traumaheli naar Withuysstraat in Den Haag,2023-10-31,10:38:20
trauma,a1 ambu 08993 - aalten markerinkdijk rit 284007,Traumaheli naar Markerinkdijk in Aalten,2023-10-31,10:30:03
trauma,a1 ambu 06811 08993 - doetinchem rit 283985 2,Traumaheli naar Doetinchem,2023-10-31,10:15:52
trauma,a1 mmt dia 13991 de markt 2931 krimpen aan de lek 97705,Traumaheli,2023-10-31,09:03:35
trauma,a1 dia: ja ambu 17992 halsterseweg bergen op zoom bergzm bon 152540,Traumaheli,2023-10-31,08:57:33
trauma,a1 ambu 08993 udenstraat arnhem rit 283828,Traumaheli naar Udenstraat in Arnhem,2023-10-31,08:10:25
trauma,a1 ambu 08993 - waalwijk grotestraat 403,Geen beschrijving beschikbaar,2023-10-31,04:57:29
trauma,a1 ambu 08993 - waalwijk rit 283747,Traumaheli naar Waalwijk,2023-10-31,04:57:08
trauma,a1 mmt 13991 13116 verbindingsdam amsterdam 97676 97677,Traumaheli naar Verbindingsdam in Amsterdam,2023-10-31,03:52:20
trauma,a1 mmt dia 13991 de bijlen alphen aan den rijn 97666 // regio 16,Traumaheli,2023-10-31,03:05:52
trauma,a1 ambu 17902 hillevlietkl rotterdam rottdm bon 152384,Traumaheli naar Hillevliet in Rotterdam,2023-10-30,22:13:50
trauma,a0 ambu 17902 nectarinestraatlz 's-gravenhage sgravh bon 152374,Traumaheli naar Nectarinestraat in Den Haag,2023-10-30,21:45:52
trauma,a1 dia: ja ambu 17992 heiweglc oud-alblas oudalb bon 152353,Traumaheli naar Heiweg in Oud-Alblas,2023-10-30,20:54:59
trauma,a1 ambu 08993 - gedempte oude gracht haarlem rit 283366,Traumaheli naar Gedempte Oude Gracht in Haarlem,2023-10-30,20:16:05
trauma,a1 dia: ja ambu 17902 kleijnstraatvv rotterdam rottdm bon 152313,Traumaheli naar Kleijnstraat in Rotterdam,2023-10-30,19:05:40
trauma,a1 13991 mgr.poelsstraat alkmaar 97575 / regio 10,Traumaheli naar Mgr.Poelsstraat in Alkmaar,2023-10-30,19:00:01
trauma,a1 dia: ja ambu 17902 hannemanplantsoenle 's-gravenhage sgravh bon 152305,Traumaheli naar Hannemanplantsoen in Den Haag,2023-10-30,18:45:20
trauma,a1 dia: ja ambu 17992 hannemanplantsoenle 's-gravenhage sgravh bon 152305,Traumaheli naar Hannemanplantsoen in Den Haag,2023-10-30,18:43:58
trauma,a1 ambu 08993 - rhenen rit 283429,Traumaheli naar Rhenen,2023-10-30,18:02:14
trauma,a1 ambu 17992 nieuwe rijksweg lexmond lexmnd bon 152272,Traumaheli,2023-10-30,17:36:03
trauma,a1 ambu 17992 abraham beeckmanlaan 4691jz tholen tholen bon 152268,Traumaheli naar 4691JZ,2023-10-30,17:23:27
trauma,a1 dia: ja ambu 17992 ouwelandsestraatgk poortugaal poortg bon 152258,Traumaheli naar Ouwelandsestraat in Poortugaal,2023-10-30,17:01:54
trauma,a1 13991 oosteinderweg aalsmeer 97544,Traumaheli naar Oosteinderweg in Aalsmeer,2023-10-30,16:36:53
